id_modalidade,descricao_modalidade,descricao_tipo,flg_tipo,isn_modalidade,descricao_justificativa
21,CARTA CONVITE,CONTRATO,51,0,MELHOTIA DA QUALIDADE DO ENSINO.
22,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,GEL PARA ECG                    .
23,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"A AQUISIÇÃO, VISA SUPRIR A NECESSIDADE DA ACADEMIA ESTADUAL DE SEGURANÇA PÚBLICA, PRINCIPALMENTE DA COORDENADORIA GERAL DE ENSINO E INSTRUÇÃO ¿ COGEN, TENDO EM VISTA SUAS FUNÇÕES PECULIARES DE ENSINO, RELATIVAMENTE ÀS IMPRESSÕES DE CERTIFICADOS E MATERIAIS DIDÁTICAS, CONSIDERANDO A DEMANDA DE CURSOS DA AESP, INCLUSIVE A À REPOSIÇÃO E ESTOQUE NO ALMOXARIFADO DA AESP, CONSIDERANDO AINDA, QUE OS REFERIDOS MATERIAIS NÃO CONSTAM EM ATA DE REGISTRO DE PREÇOS."
24,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DE MATERIAL DE MATERIAL MEDICO HOSPITALAR
25,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DE PNEUS PARA SUPRIR AS NECESSIDADES DESTA SECRETARIA.
26,SEM MODALIDADE,CONTRATO,51,0,ASSEGURAR O CUSTEIO DE TODAS AS ATIVIDADES A SEREM DESENVOLVIDAS PELO CONSÓRCIO PÚBLICO DE SAÚDE DA MICRORREGIÃO DE LIMOEIRO.
27,PREGÃO,CONTRATO,51,0,PARA ATENDER AS NECESSIDADES DA SECRETARIA DE JUSTIÇA E CIDADANIA -SEJUS
28,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,RECURSO DESTINADO A AQUISIÇÃO DE MEDICAMENTO CONFORME ATA Nº 2021/02093 PARA HSJ
29,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,RECURSO DESTINADO A AQUISIÇÃO DE MATERIAL DE EXPEDIENTE CONFORME ATA Nº 2023/00811 PARA HSJ
30,DISPENSA,CONTRATO,51,0,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR PARA ATENDER AO HMJMA
31,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,RECURSO DESTINADO A AQUISIÇÃO DE MEDICAMENTO CONFORME ATA Nº 2020/06808 PARA HSJ
32,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DE PAPEL A4 PARA A PMCE
33,CONCORRÊNCIA,CONTRATO,51,0,"REFORMA DO PRÉDIO DO IML / FORTALEZA, PARA IMPLANTAÇÃO DA PERÍCIA FORENSE DO ESTADO DO CEARÁ."
34,PREGÃO,CONTRATO,51,0,"AQUISIÇÃO DE MATERIAL DE EXPEDIENTE, NÃO INCLUINDO NO REGISTRO DE PREÇOS DA SEAD, BEM COMO OS QUE NÃO TIVERAM REGISTRO DE PREÇO DA SEAD ."
35,PREGÃO,CONTRATO,51,0,"PARA EXECUÇÃO DE SERVIÇO DE CONTROLE DE PRAGAS (BARATAS, MOSCAS, FORMIGAS, RATOS, CUPINS, ESCORPIÃO, ARANHAS, MOSQUITOS), DEDETIZAÇÃO E DESRATIZAÇÃO, NAS INSTALAÇÕES DA SECRETARIA DA EDUCAÇÃO, NECESSÁRIO SE FAZ A CELEBRAÇÃO DO CONTRATO."
36,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,RECURSO DESTINADO A AQUISIÇÃO DE MEDICAMENTO CONFORME ATA Nº 2022/00620 PARA HSJ
37,PREGÃO,CONTRATO,51,0,MATERIAL PARA USO EM EQUIPAMENTOS DE REFRIGERAÇÃO
38,PREGÃO,CONTRATO,51,0,PARA SUPRIR AS NECESSIDADES DOS NÚCLEOS REGIONAIS DA PEFOCE
39,PREGÃO,CONTRATO,51,0,"AQUISIÇÃO DE APARELHOS DE ANESTESIA,VAPORIZADORES DE SEVOFLURANO, VAPORIZADORES DE ISOFLURANO E VAPORIZADORES DE DESFLURANO"
40,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DE KETOCAL PARA ATENDER DEMANDAS JUDICIAIS.
73,CONCORRÊNCIA,CONTRATO,51,0,"COMPRA DE ESTATIVA PARA CENTRO CIRÚRGICO - LABORATÓRIO, ESTATIVA PARA UTI, ARMÁRIO AUTOMATIZADO E OUTROS PARA O HOSPITAL REGIONAL DO NORTE"
41,PREGÃO,CONTRATO,51,0,"CONSTITUI OBJETO DESTE CONTRATO O SERVIÇO DE SUPORTE LOGÍSTICO (ESPAÇO FÍSICO, ALIMENTAÇÃO E HOSPEDAGEM), PARA ATENDER AS NECESSIDADES DA ESCOLA DE SAÚDE PÚBLICA DO CEARÁ ¿ ESP/CE, EM TODO O INTERIOR DO ESTADO, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO I ¿ TERMO DE REFERÊNCIA DO EDITAL E NA PROPOSTA DA CONTRATADA."
42,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DO MEDICAMENTO VENLAFAXINA 150 MG DA EMPRESA ART VITA ATRAVÉS DO PREGÃO N° 835/2014 E DA ATA N° 281/2015.
43,PREGÃO ELETRÔNICO,CONTRATO,51,0,AS AGENDAS SERÃO UTILIZADAS EM SALA DE AULA PARA CONTROLE E ORGANIZAÇÃO DOS ALUNOS E SERVEM COMO INSTRUMENTO DE ORGANIZAÇÃO PARA OS MESMOS.
44,PREGÃO,CONTRATO,51,0,"SERVIÇOS DE RESERVA, EMISSÃO E ENTREGA DE BILHETES DE PASSAGENS AÉREAS E DEMAIS SERVIÇOS CORRELATOS (PASSAGENS RODOVIÁRIAS, FERROVIÁRIAS, SERVIÇOS DE RESERVAS DE HOTÉIS, VEÍCULOS TERRESTRES DE QUALQUER PORTE, TRANSLADO, SEGURO DE SAÚDE E DE BAGAGEM), NO ÂMBITO NACIONAL E INTERNACIONAL, DE ACORDO COM AS ESPECIFICAÇÕES E QUANTITATIVOS PREVISTOS NO ANEXO I ¿ TERMO DE REFERÊNCIA DO EDITAL E NA PROPOSTA DA CONTRATADA"
45,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DO MEDICAMENTO VENCLEXTA (VENETOCLAX) 100MG PARA ATENDER DEMANDAS JUDICIAIS.
46,TOMADA DE PREÇO,CONTRATO,51,0,"CONTRATO QUE ENTRE SI CELEBRAM A SECRETARIA DA CULTURA ¿ SECULT E A EMPRESA URBIS CONSTRUTORA LTDA, COM A INTERVENIÊNCIA DO DEPARTAMENTO DE ARQUITETURA E ENGENHARIA ¿ DAE, PARA OS FINS NELE INDICADOS."
47,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DO MEDICAMENTO RISPERIDONA 50MG PARA ATENDER DEMANDAS JUDICIAIS.
48,PREGÃO ELETRÔNICO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,LÂMPADAS PARA REPOSIÇÃO DAS QUEIMADAS
49,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,INTRODUTOR E OUTROS        .
50,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,SUPRIR A DEMANDA DO CBMCE COM AQUISIÇÃO DE FERRAMENTAS.
51,PREGÃO,CONTRATO,51,0,AQUISIÇÃO MEDIANTE PREGÃO ELETRÔNICO VISANDO ATENDER AS DEMANDAS DO MAPP 264.
52,PREGÃO ELETRÔNICO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"ATENDER A NECESSIDADE DA CORPORAÇÃO NO QUE DIZ RESPEITO A MATERIAL DE CONSUMO TIPO ALIMENTAÇÃO PREPARADA, SANDUÍCHE."
53,CONCORRÊNCIA,CONTRATO,51,0,ATENDER AS NECESSIDADES DAS COMUNIDADES CARENTE DE ÁGUA NO INTERIOR DO ESTADO.
54,DISPENSA,CONTRATO,51,0,"FORNECIMENTO E APLICAÇÃO DE CONCRETO BETUMINOSO USINADO A QUENTE - CBUQ, EM RODOVIAS DO DISTRITO OPERACIONAL DE TAUÁ."
55,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"3. DA JUSTIFICATIVA
3.1. REABASTECIMENTO REGULAR DE MATERIAL INDISPENSÁVEL À CONTINUAÇÃO DOS SERVIÇOS. MATERIAL
NECESSÁRIO A FIM DE EVITAR DESABASTECIMENTO PARA QUE NÃO HAJA DESCONTINUIDADE DA ROTINA DAS
UNIDADES HOSPITALARES."
56,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇÃO DE PAPEL A4, PARA ATENDER AS BASES DO SAMU 192 CEARÁ."
57,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"PRODUTO CITADO É PADRONIZADO PELO HOSPITAL INFANTIL ALBERTO SABIN, ENCONTRA-SE DESABASTECIDO NO ALMOXARIFADO. NÃO EXISTE PREGÃO VIGENTE PARA O ITEM 10"
58,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"SERVIÇOS DE REVISÃO DE 40.000KM DO VEÍCULO CHEVROLET S10,  DE PLACAS OSS 3230, FAB/MOD 2014/2014."
59,INEXIGIBILIDADE,CONTRATO,51,0,"A CONTRATAÇÃO DO SERVIÇO OBJETIVA GARANTIR AOS DIRIGENTES DO GABINETE O ACOMPANHAMENTO DIÁRIOE SEMANAL DAS NOTÍCIAS, UMA VEZ QUE O FORNECIMENTO DE PERIÓDICOS TEM COMO FUNÇÃO PRECÍPUA MUNICIAR AS ÁREAS TÉCNICAS E ESTRATÉGICAS DE INFORMAÇÕES ATUALIZADAS SOBRE OS CENÁRIOS SOCIAIS E ECONÔMICOS NO ÂMBITO NACIONAL E REGIONAL."
60,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"MATERIAL NECESSÁRIO PARA REALIZAÇÃO DE EXAMES IMUNO-HEMATOLÓGICOS EM TODOS OS DOADORES DE SANGUE, VISANDO REDUZIR A POSSIBILIDADE DE TRANSFUSÃO DE HEMOCOMPONENTES INCOMPATÍVEIS, COM FORMAÇÃO DE ANTICORPOS E ATÉ MESMO REAÇÕES HEMOLÍTICAS GRAVES, COM RISCO DE MORTE."
61,CONCORRÊNCIA,CONTRATO,51,0,"CONSIDERANDO A MUDANÇA DE SEDE DO PROJETO SÃO JOSÉ III ¿ 2ª FASE PARA A NOVA INSTALAÇÃO NAS DEPENDÊNCIAS DA SECRETARIA DO DESENVOLVIMENTO AGRÁRIO - SDA E, PENSANDO NA MELHORIA DA EDIFICAÇÃO, COM UM ESPAÇO TOTALMENTE ADAPTADO PARA MELHOR ATENDER AOS COLABORADORES E BENEFICIÁRIOS DO PROJETO, SERÁ EXECUTADA UMA REFORMA E AMPLIAÇÃO DA NOVA SEDE DO PROJETO, COM FORNECIMENTO E INSTALAÇÃO DE MATERIAIS, DE ACORDO COM AS NORMAS E EM CONFORMIDADE COM AS ESPECIFICAÇÕES TÉCNICAS E QUANTITATIVOS PREVISTOS NO PROJETO ANEXO, NO ÂMBITO DO PROJETO DE DESENVOLVIMENTO RURAL SUSTENTÁVEL ¿ PDRS/PROJETO SÃO JOSÉ III ¿ 2ª FASE, E EM CONSONÂNCIA COM O ACORDO DE EMPRÉSTIMO Nº 8986-0-BR."
62,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,PRESTADORES SEM VÍNCULO
63,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,DISPOSITIVO FIXAÇÃO DE TUBO
64,PREGÃO,CONTRATO,51,0,"PARA PROMOVER A MODERNIZAÇÃO DOS EQUIPAMENTOS EXISTENTES NA EGP,"
65,PREGÃO,CONTRATO,51,0,"INTERLIGAR AO CINTURÃO DIGITAL OS POSTOS DE CLASSIFICAÇÃO VEGETAL DA SDA LOCALIZADOS NA REGIÃO METROPOLITANA DE FORTALEZA, EM IGUATU E EM JUAZEIRO DO NORTE, POSSIBILITANDO O ACESSO À INTERNET"
66,PREGÃO,CONTRATO,51,0,ATUALIZAÇÃO DO ACERVO BIBLIOGRÁFICO
67,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DO MEDICAMENTO DAPAGLIFLOZINA 10MG PARA ATENDER DEMANDAS JUDICIAIS.
68,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇÃO DE 5 UNIDADES DE TELEFONE, SEM FIO,MARCA: INTELBRAS PARA SEDE DA JUCEC."
69,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"RECURSO DESTINADO AQUISIÇÃO DE MEDICAMENTOS, REFERENTE ATA DO RP 2020/06809 PARA O HSJ"
70,PREGÃO,CONTRATO,51,0,"AQUISIÇÃO DE ÁGUA MINERAL, NATURAL DA FONTE, SEM GÁS, CONSUMO HUMANO, ACONDICIONADA EM GARRAFÃO RETORNÁVEL EM PLÁSTICO RESISTENTE, POLIPROPILENO OU POLICARBONATO, TRANSPARENTE COM NÍTIDA VISIBILIDADE, SEM MANCHAS, SEM ODOR, SEM FUROS OU MICROFUROS, SEM FISSURAS, SEM AMASSO, LACRADO COM TAMPA, RÓTULO INTACTOS COM DADOS DE IDENTIFICAÇÃO DO PRODUTO, DATA DO ENVASE, VALIDADE, CARACTERÍSTICAS FÍSICO-QUÍMICAS NOME DA FONTE, NOME DA EMPRESA ENGARRAFADORA, CNPJ, Nº DO REGISTRO MINIST. DA SAÚDE. GARRAFÃO - 20 - LITROS."
71,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DE FRALDA DESCARTAVEL PARA ATENDER DEMANDA JUDICIAL DO PACIENTE SAYMON DE OLIVEIRA SILVA
72,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,SCALP 25                .
74,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DO MEDICAMENTO AMISSULPRIDA 50MG PARA ATENDER DEMANDAS JUDICIAIS.
75,CARTA CONVITE,CONTRATO,51,0,MELHORIA DA QUALIDADE DO  ENSINO
76,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,REPOSIÇÃO NO ALMOXARIFADO DESTA VICE-GOVERNADORIA
77,PREGÃO ELETRÔNICO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,PARA ATENDER AS NECESSIDADES DO HOSPITAL GERAL DE FORTALEZA
78,DISPENSA,CONTRATO,51,0,PARA A MELHOR DA QUALIDADE DO ENSINO
79,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇÃO DE BOLSAS/ACESSORIOS PARA O PROGRAMA DE ATENÇÃO A SAUDE DA PESSOA OSTOMIZADA, DO CENTRO DE SAUDE MEIRELES/SESA, PARA ATENDER O MÊS DE MARÇO/2022, ITEM 1 X 8760 ATRAVÉS DA ATA 08072/2022. EMPRESA COLOPLAST DO BRASIL LTDA."
80,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,TORNEIRINHA DE 3 VIAS
81,PREGÃO,CONTRATO,51,0,"AQUISIÇÃO DE 20(VINTE) UNIDADES DE HD EXTERNO DE 1TB PLUG AND PLAY PORTATIL, 2.000(DUAS MIL) UNIDADES DE TONER XEROX PHASER 3600 14.000PG, 2.000(DUAS MIL) DE TONER SAMSUNG 6470DN 10.000PG E 5.000(CINCO MIL) UNIDADES DE FITA PARA IMPRESSORA BEMATECH MODELO MP20MI  E 100(CEM ) UNIDADES DE TECLADOS DE 12 TECLAS."
82,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,ATENDER AS NECESSIDADES DESTA VICE-GOVERNADORIA.
83,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,PARA ABASTECER AS UNIDADES DE SAÚDE DO ESTADO DO CEARÁ
84,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,MELHORIA DA QUALIDADEDE DE ENSINO
85,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"ACADEMIA ESTADUAL DE SEGURANÇA PÚBLICA É RESPONSÁVEL PELA EXECUÇÃO DOS CURSOS DE FORMAÇÃO INICIAL E CONTINUADA DAS VINCULADAS DA SECRETARIA DE SEGURANÇA PÚBLICA, SENDO PORTANTO ESSENCIAL UM LOCAL DESTINADO AO ARMAZENAMENTO DAS MUNIÇÕES UTILIZADAS NAS DISCIPLINAS PRÁTICAS DE ARMAMENTO E TIRO DOS CURSOS CITADOS, SENDO NECESSÁRIO QUE ESTE LOCAL DE ARMAZENAMENTO , SEJA PROTEGIDO CONTRA IMPACTOS, POEIRA, UMIDADE, CALOR, FOGO E OUTROS FATORES. SENDO ASSIM O USO DOS EXAUSTORES AUXILIARÃO NA VENTILAÇÃO DO AMBIENTE E NO CONTROLE DA TEMPERATURA, UMIDADE E DE OUTROS POLUENTES."
86,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"A PRESENTE AQUISIÇÃO DE COPOS DESCARTÁVEIS FAZ-SE NECESSÁRIA PARA ATENDER OS SERVIDORES DESTA CASA E O PÚBLICO QUE A FREQUENTA, QUE SE UTILIZAM DOS MESMOS PARA CONSUMO DE BEBIDAS COMO ÁGUA, CAFÉ, CHÁ, ENTRE OUTRAS, ATENDENDO ÀS SUAS NECESSIDADES BÁSICAS."
87,SEM MODALIDADE,CONTRATO,51,0,ASSEGURAR O CUSTEIO DE TODAS AS ATIVIDADES A SEREM DESENVOLVIDAS PELO CONSÓRCIO PÚBLICO DE SAÚDE DA REGIÃO DE CAMOCIM.
88,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇÃO DE GRAMPEADOR, ATRAVÉS DE ORDEM DE COMPRA Nº 58520/2019 E ARP Nº 2019/1209 PARA ATENDER AS NECESSIDADES DA SUPERINTENDÊNCIA DA POLÍCIA CIVIL."
89,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇÃO DE CLONIDINA 0,100MG (ATENSINA) E OUROS"
90,PREGÃO ELETRÔNICO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,SEM JUSTIFICATIVA DEVIDO AO CADASTRO SER DE DESPESA SEM INSTRUMENTO CONTRATUAL
91,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,PARA MELHOR ATENDER AS UNIDADES LABORATORIAIS
92,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,MANTER A FROTA EM CONDIÇÕES DE ATUAÇÃO NOS SERVIÇOS DIÁRIOS
93,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇÃO DE MATERIAL DE CONSUMO (LIMPEZA - DIVERSOS), ATRAVÉS DA ATA DE REGISTRO DE PREÇOS N° 2021/07107/SEPLAG, PARA A PROCURADORIA-GERAL DO ESTADO."
94,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,SUPRIR A DEMANDA DE MATERIAL DE LIMPEZA PARA OS COLÉGIOS DA PMCE
95,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,MANUTENÇÃO DEVIDO AO GRANDE FLUXO DE DADOS ATUALMENTE NESTA COMPANHIA.
96,PREGÃO,CONTRATO,51,0,"MANUTENÇÃO PREVENTIVA E CORRETIVA, NO PRÉDIO DA UNIVERSIDADE VALE DO ACARAÚ - CENTRO DE CIÊNCIAS HUMANAS, NO MUNICÍPIO DE SOBRAL - CE."
97,PREGÃO,CONTRATO,51,0,ATENDER AS NECESSIDADES DESTA FUNDAÇÃO
98,DISPENSA,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,SOLICITA DISPENSA DE LICITAÇÃO PARA AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR PARA ABASTECIMENTO DAS UNIDADES HOSPITALARES DA REDE SESA
99,PREGÃO,CONTRATO,51,0,SERVIÇOS DE HORAS/MÊS NA ÁREA DE PSICÓLOGO.
100,PREGÃO,CONTRATO,51,0,MOBILIÁRIO SOB BANCADA E PRATELEIRAS PARA MODERNIZAÇÃO DA INFRAESTRUTURA DO LABORATÓRIO DE BIOCOMBUSTÍVEIS DO NUTEC.
101,DISPENSA,CONTRATO,51,0,"ATENDER A DEMANDA DOS SERVIÇOS DE ALIMENTAÇÃO PARA O FORNECIMENTO DE REFEIÇÕES DESTINADAS AOS ALUNOS DAS ESCOLAS ESTADUAIS PROFISSIONAL, E ALUNOS QUE ESTEJAM EM INTERCAMBIO NAS AÇÕES PEDAGÓGICAS."
102,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQUISIÇÃO DE MATERIAL DE CONSUMO, PROTETOR SOLAR, CONFORME ATÁ DE REGISTRO DE PREÇO N° 67/2023, REFERENTE AO PREGÃO ELETRÔNICO N° 01/2023 DO 1° BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO"
103,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,ATENDER AS NECESSIDADES DA ESCOLA DE SAÚDE PÚBLICA DO CEARÁ
104,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,REALINHAMENTO DE PREÇOS.
105,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,AQUISIÇÃO DO MEDICAMENTO ALENIA (FUMARATO DE FORMOTEROL + BUDESONIDA) 6MCG + 200MCG PARA ATENDER DEMANDAS JUDICIAIS.
106,PREGÃO,CONTRATO,51,0,"MANTER NA SECRETARIA DAS CIDADES MÁQUINAS FOTOCOPIADORAS PARA AGILIZAR SUAS ATIVIDADES NO ATENDIMENTO DAS NECESSIDADES DE GERENCIAMENTO DE IMPRESSÃO, ASSISTÊNCIA TÉCNICA E NA REPOSIÇÃO DE PEÇAS."
107,PREGÃO,DESPESA.SEM.INSTRUMENTO.CONTRATUAL,52,0,"AQ. DE CAFÉ, ATRAVÉS DA ORDEM DE COMPRA Nº 51588/2021 E ATA DE REGISTRO DE PREÇO Nº 2020/0628 PARA ATENDER AS NECESSIDADES DA POLÍCIA CIVIL."
